Year,Country,Type
1982,Italy,Ball
1986,Argentina,Ball
1990,Italy,Ball
1994,Brazil,Ball
1998,Brazil,Ball
2002,Germany,Ball
2006,France,Ball
2010,Uruguay,Ball
2014,Argentina,Ball
2018,Croatia,Ball
2022,Argentina,Ball
1994,Belgium,Glove
1998,France,Glove
2002,Germany,Glove
2006,Italy,Glove
2010,Spain,Glove
2014,Germany,Glove
2018,Belgium,Glove
2022,Argentina,Glove
1930,Argentina,Boot
1934,Czechoslovakia,Boot
1938,Brazil,Boot
1950,Brazil,Boot
1954,Hungary,Boot
1958,France,Boot
1962,Hungary,Boot
1962,Soviet Union,Boot
1962,Brazil,Boot
1962,Brazil,Boot
1962,Yugoslavia,Boot
1962,Chile,Boot
1966,Portugal,Boot
1970,Germany,Boot
1974,Poland,Boot
1978,Argentina,Boot
1982,Italy,Boot
1986,England,Boot
1990,Italy,Boot
1994,Russia,Boot
1994,Bulgaria,Boot
1998,Croatia,Boot
2002,Brazil,Boot
2006,Germany,Boot
2010,Germany,Boot
2014,Colombia,Boot
2018,England,Boot
2022,France,Boot
